country,region,technology,year,value,unit
XY,CE,BIOT,2040,0.94,GW
XY,CE,CCGT,2040,12.0,GW
XY,CE,NUCL,2040,1.5,GW
XY,CE,SubC,2040,3.4,GW
XY,CE,WSTT,2040,0.02,GW
XY,NR,BIOT,2040,0.61,GW
XY,NR,NUCL,2040,0.06,GW
XY,NR,SubC,2040,2.4,GW
XY,NR,WSTT,2040,0.02,GW
XY,SO,BIOT,2040,0.63,GW
XY,SO,CCGT,2040,0.94,GW
XY,SO,OILT,2040,0.31,GW
XY,SO,WSTT,2040,0.02,GW
YZ,CE,CCGT,2040,3.2,GW
YZ,CE,OCGT,2040,1.0,GW
YZ,CE,SubC,2040,1.0,GW
YZ,CE,SupC,2040,1.3,GW
YZ,NR,BIOT,2040,0.01,GW
YZ,NR,CCGT,2040,3.0,GW
YZ,NR,OCGT,2040,4.5,GW
YZ,NR,OILT,2040,0.4,GW
YZ,NR,SubC,2040,6.0,GW
YZ,NR,SupC,2040,4.0,GW
YZ,SO,CCGT,2040,2.5,GW
YZ,SO,OCGT,2040,2.1,GW
YZ,SO,SubC,2040,1.9,GW
YZ,SO,SupC,2040,1.0,GW
XY,CE,CSP,2040,0.77,GW
XY,CE,PHOT,2040,4.72,GW
XY,CE,RTPV,2040,0.03,GW
XY,NR,PHOT,2040,0.52,GW
XY,NR,RTPV,2040,0.32,GW
XY,NR,WTON,2040,0.06,GW
XY,SO,PHOT,2040,6.75,GW
XY,SO,RTPV,2040,0.04,GW
XY,SO,WTON,2040,5.33,GW
YZ,CE,RTPV,2040,0.03,GW
YZ,CE,WTON,2040,13.15,GW
YZ,NR,HROR,2040,8.5,GW
YZ,NR,PHOT,2040,0.4,GW
YZ,NR,RTPV,2040,0.32,GW
YZ,NR,WTON,2040,6.8,GW
YZ,SO,PHOT,2040,6.32,GW
YZ,SO,RTPV,2040,0.04,GW
YZ,SO,WTON,2040,4.07,GW
XY,CE,HDAM,2040,1.0,GW
XY,NR,HDAM,2040,1.2,GW
XY,SO,HDAM,2040,0.3,GW
