country,technology,year,value,unit
XY,BIOT,2025,757.55,Million usd
XY,CCGT,2025,1156.61,Million usd
XY,HDAM,2025,100.0,Million usd
XY,NUCL,2025,368.21,Million usd
XY,OILT,2025,2.52,Million usd
XY,PHOT,2025,27.03,Million usd
XY,RTPV,2025,5.36,Million usd
XY,SubC,2025,1157.74,Million usd
XY,WSTT,2025,39.28,Million usd
XY,WTON,2025,5.28,Million usd
YZ,BIOT,2025,5.21,Million usd
YZ,CCGT,2025,147.9,Million usd
YZ,OCGT,2025,69.92,Million usd
YZ,OILT,2025,4.0,Million usd
YZ,PHOT,2025,15.5,Million usd
YZ,RTPV,2025,5.07,Million usd
YZ,SubC,2025,987.34,Million usd
YZ,SupC,2025,953.52,Million usd
YZ,WTON,2025,28.03,Million usd
